Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
Prot_Q8WZ42,Prot_P29508,Prot_B2RBZ9,Prot_Q8TCX5,Prot_A0A158RFU1,Prot_Q8TCX5,Prot_Q8WZ42,Prot_Q8WZ42
Prot_A0A0A0MTS7,Prot_O15393,Prot_Q9HAV5,Prot_A0A140VJK9,Prot_Q6NUJ2,Prot_A0A140VJK9,Prot_A0A0A0MTS7,Prot_A0A0A0MTS7
Prot_Q7Z3B7,Prot_B4DN83,Prot_B4DQY6,Prot_P05981,Prot_P35527,Prot_P05981,Prot_Q7Z3B7,Prot_Q7Z3B7
Prot_A0A0A0MRA3,Prot_P11308,Prot_O60890,Prot_B7Z1L4,Prot_P14138,Prot_B7Z1L4,Prot_A0A0A0MRA3,Prot_A0A0A0MRA3
Prot_K7PPA8,Prot_A0A0C4DG41,Prot_A0A0C4DG76,Prot_Q96RU8,Prot_Q4FAT2,Prot_Q96RU8,Prot_K7PPA8,Prot_K7PPA8
Prot_P04637,Prot_B4DVX5,Prot_Q9BQS7,Prot_Q99674,Prot_Q6ZSG2,Prot_Q99674,Prot_P04637,Prot_P04637
Prot_Q53GA5,Prot_B5MDW0,Prot_E7ES21,Prot_O15551,Prot_Q7L985,Prot_O15551,Prot_Q53GA5,Prot_Q53GA5
Prot_H2EHT1,Prot_A0A024R3C6,Prot_A6NDE8,Prot_Q75L79,Prot_A0A140CTX7,Prot_Q75L79,Prot_H2EHT1,Prot_H2EHT1
Prot_A0A087X1Q1,Prot_Q05516,Prot_Q96EC8,Prot_A0A024R8Z5,Prot_P07320,Prot_A0A024R8Z5,Prot_A0A087X1Q1,Prot_A0A087X1Q1
Prot_A0A087WXZ1,Prot_P50549,Prot_Q9Y279,Prot_O95563,Prot_Q8N7J2,Prot_O95563,Prot_A0A087WXZ1,Prot_A0A087WXZ1
Prot_A0A087WT22,Prot_B7Z2C9,Prot_P26038,Prot_O95471,Prot_A0A087WTC3,Prot_O95471,Prot_A0A087WT22,Prot_A0A087WT22
Prot_O43791,Prot_B5MCT2,Prot_V9HWC0,Prot_F5H496,Prot_Q3MJ13,Prot_F5H496,Prot_O43791,Prot_O43791
Prot_Q5VST9,Prot_K7PPA8,Prot_Q92502,Prot_Q96EX2,Prot_C9JR72,Prot_Q96EX2,Prot_Q5VST9,Prot_Q5VST9
Prot_A6NGQ3,Prot_P04637,Prot_Q9Y4W2,Prot_P56915,Prot_P21918,Prot_P56915,Prot_A6NGQ3,Prot_A6NGQ3
Prot_Q14204,Prot_Q53GA5,Prot_Q5HYM0,Prot_Q9H6K5,Prot_Q9BZD7,Prot_Q9H6K5,Prot_Q14204,Prot_Q14204
Prot_B4E1S1,Prot_H2EHT1,Prot_P98172,Prot_Q9NQ86,Prot_Q92502,Prot_Q9NQ86,Prot_B4E1S1,Prot_B4E1S1
Prot_Q8TD57,Prot_A0A087X1Q1,Prot_P10275,Prot_E9PBG3,Prot_Q6UXI7,Prot_E9PBG3,Prot_Q8TD57,Prot_Q8TD57
Prot_P10275,Prot_A0A087WXZ1,Prot_Q9NUA2,Prot_Q4R1Q4,Prot_Q8N6L7,Prot_Q4R1Q4,Prot_P10275,Prot_P10275
Prot_Q9NUA2,Prot_A0A087WT22,Prot_F1D8N5,Prot_Q9HC52,Prot_P11086,Prot_Q9HC52,Prot_Q9NUA2,Prot_Q9NUA2
Prot_F1D8N5,Prot_Q96JT2,Prot_A0A087WUX9,Prot_A0A024R4A4,Prot_A8MT87,Prot_A0A024R4A4,Prot_F1D8N5,Prot_F1D8N5
Prot_A0A087WUX9,Prot_P43268,Prot_G4VV16,Prot_Q9H0T7,Prot_P33763,Prot_Q9H0T7,Prot_A0A087WUX9,Prot_A0A087WUX9
Prot_G4VV16,Prot_Q9UIK5,Prot_F6KD01,Prot_P56177,Prot_Q03052,Prot_P56177,Prot_G4VV16,Prot_G4VV16
